source_identity_key,historical_product_title,historical_variant_title,material,affected_raw_rows,absolute_unit_magnitude,absolute_sales_magnitude,review_disposition,canonical_variant_id,canonical_product_title,canonical_variant_title,evidence_basis,review_note
0||GLENMORANGIE SAMPLER PACK SCOTCH|3PK 100ML,Glenmorangie Sampler Pack Scotch,3PK-100ML,true,4,5.0000,139.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HAKU JAPANESE VODKA|750ML,Haku Japanese Vodka,750ML,true,3,3.0000,77.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HARTMAN S COTTER S CASK WHEATED|750ML,Hartman's Cotter's Cask Wheated,750ML,true,2,2.0000,299.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HARTMAN S SHEA S CENTENNIAL BLEND|750ML,Hartman's Shea's Centennial Blend,750ML,true,6,12.0000,959.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HARTMANS|,Hartmans,,true,1,1.0000,114.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HARTWALL ORIGINAL LONG DRINK|12OZ,Hartwall Original Long Drink,12oz,true,4,4.0000,63.96,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HEAVEN HILL 7YRS BOTTLED IN BOND STRAIGHT|750ML,Heaven Hill 7Yrs Bottled-In-Bond Straight,750ML,true,6,6.0000,321.70,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HENNESSY 375|,Hennessy 375,,true,1,1.0000,24.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||HIGH NOON VODKA SELTZER TRANSFUSION|6PK 12OZ CANS,High Noon Vodka Seltzer Transfusion,6pk-12oz Cans,true,9,20.0000,339.80,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||J VINEYARDS AND WINERY CHARDONNAY|750ML,J Vineyards & Winery Chardonnay,750ML,true,2,3.0000,59.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||J VINEYARDS CALIFORNIA CUVEE|750ML,J Vineyards California Cuvee,750ML,true,3,3.0000,71.06,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||J VINEYARDS PINOT GRIS CALIFORNIA|750ML,J Vineyards Pinot Gris California,750ML,true,3,3.0000,59.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||JIM BEAM PINEAPPLE BOURBON WHISKEY|750ML,Jim Beam Pineapple Bourbon Whiskey,750ML,true,1,1.0000,19.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||JOSE CUERVO MARGARITA MIX|,Jose Cuervo Margarita Mix,,true,1,1.0000,8.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||JUTE TOTE BAG|,JUTE TOTE BAG,,true,26,29.0000,114.72,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||KILLR KCK BIRTHDAY CAKE VODKA|50ML,Killr Kck Birthday Cake Vodka,50ML,true,8,11.0000,10.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||KORBEL CHAMPAGNE BRUT ROSE|750ML,Korbel Champagne Brut Rose,750ML,true,1,1.0000,13.99,MAP,41318441222219,Korbel Champagne Brut Rose,750ML,unique_exact_catalog_identity,Normalized product identity and package uniquely agree.
0||LOBETIA|,Lobetia,,true,1,1.0000,10.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||M DE MAGNOL BORDEAUX BLANC|750ML,M de Magnol Bordeaux Blanc,750ML,true,17,19.0000,341.81,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||M DE MAGNOL BORDEAUX|750ML,M DE MAGNOL BORDEAUX,750ML,true,5,5.0000,89.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||MADRE BLANCO TEQUILA 100 AGAVE AZUL|700ML,Madre Blanco Tequila 100% Agave Azul,700ML,true,6,6.0000,299.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||MAKERS MARK WITH TWO GLASSES|,Makers Mark with Two Glasses,,true,1,1.0000,31.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||MINUTE MAID SPIKED LIME MARGARITA|200ML,Minute Maid Spiked Lime Margarita,200ML,true,1,1.0000,9.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||MINUTE MAID SPIKED LIME MARGARITA|4PK 200ML CANS,Minute Maid Spiked Lime Margarita,4pk-200ML Cans,true,11,11.0000,109.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||MOET AND CHANDON NECTAR IMPERIAL ROSE|750ML,Moet & Chandon Nectar Imperial Rose,750ML,true,2,2.0000,144.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||MOET AND CHANDON ROSE|750ML,Moet & Chandon Rose,750ML,true,1,1.0000,74.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||MR. BOSTON|,Mr. Boston,,true,1,1.0000,3.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||NIGHTOWL TEQUILA ESPRESSO MARTINI|4PK 200ML CANS,NightOwl Tequila Espresso Martini,4pk-200ML Cans,true,6,6.0000,119.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||NIGHTOWL VODKA ESPRESSO MARTINI|200ML,NightOwl Vodka Espresso Martini,200ML,true,4,4.0000,77.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||NIGHTOWL VODKA ESPRESSO MARTINI|4PK 200ML CANS,NightOwl Vodka Espresso Martini,4pk-200ML Cans,true,2,2.0000,39.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||NOBLE VINES 242 SB|750ML,Noble Vines 242 Sauvignon Blanc,750ML,true,30,36.0000,357.64,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||NOBLE VINES 337 CAB|750ML,Noble Vines 337 Cabernet Sauvignon,750ML,true,32,36.0000,464.04,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ONDA TEQUILA SELTZER CLASSIC VARIETY PACK|12OZ,Onda Tequila Seltzer Classic Variety Pack,12oz,true,3,3.0000,68.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ONDA TEQUILA SELTZER CLASSIC VARIETY PACK|8PK 12OZ CANS,Onda Tequila Seltzer Classic Variety Pack,8pk-12oz Cans,true,3,3.0000,68.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ONDA TEQUILA SELTZER PARADISE VARIETY PACK|12OZ,Onda Tequila Seltzer Paradise Variety Pack,12oz,true,6,6.0000,114.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ONDA TEQUILA SELTZER TROPICAL VARIETY PACK|12OZ,Onda Tequila Seltzer Tropical Variety Pack,12oz,true,4,6.0000,137.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ORIGAMI WHITE LOTUS SAKE|750ML,Origami White Lotus Sake,750ML,true,4,4.0000,107.96,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||OWLS BREW|,Owls brew,,true,1,1.0000,19.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||PARROT BAY PINEAPPLE|50ML,Parrot Bay Pineapple,50ML,true,14,29.0000,28.71,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||PATRON 6 PACK|,Patron 6 Pack,,true,1,1.0000,34.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||PENELOPE COOPER SERIES|,Penelope Cooper Series,,true,1,1.0000,85.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||PENELOPE OMEGA|,Penelope Omega,,true,1,1.0000,145.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||PENELOPE PRIVATE SELECTION|,Penelope private selection,,true,1,1.0000,89.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||PREMIUM BAG|,Premium Bag,,true,2,2.0000,7.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||RED NEWT CELLARS GEWURZTRAMINER|750ML,Red Newt Cellars Gewurztraminer,750ML,true,12,12.0000,190.29,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||RED NEWT DRY RIESLING|750ML,Red Newt Dry Riesling,750ML,true,12,12.0000,237.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ROCCA DELLE MACIE SASYR|750ML,Rocca delle Macie Sasyr,750ML,true,12,12.0000,227.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ROSCATO BLACK CHERRY|750ML,Roscato Black Cherry,750ML,true,2,2.0000,23.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ROSCATO ROSE|750ML,Roscato Rose,750ML,true,2,2.0000,23.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||RUFFINO AQUA DI VENUS PG|750ML,Ruffino Aqua Di Venus Pinot Grigio,750ML,true,41,60.0000,680.71,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||RUFFINO MODUS TOSCANA IGT|750ML,Ruffino Modus Toscana IGT,750ML,true,11,12.0000,359.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SHENK S HOMESTEAD SOUR MASH WHISKEY|750ML,Shenk's Homestead Sour Mash Whiskey,750ML,true,2,2.0000,249.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SHIPPING FEES|,Shipping Fees,,true,1,1.0000,14.99,EXCLUDE,,,,owner_approved_non_merchandise_exclusion,Excluded from canonical beverage sales.
0||SHOT CUPS|,Shot cups,,true,1,1.0000,8.00,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SHOT GLASSES|,Shot glasses,,true,1,1.0000,7.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SHOT GLASS|,Shot glass,,true,2,2.0000,15.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SHOTS|,Shots,,true,1,1.0000,7.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SIRDAVIS AMERICAN RYE WHISKY|750ML,SirDavis American Rye Whisky,750ML,true,1,1.0000,77.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SKYY 1.75|,Skyy 1.75,,true,1,1.0000,19.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SPRITZ DEL CONTE CLASSICO|750ML,Spritz Del Conte Classico,750ML,true,6,6.0000,92.76,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SPRITZ DEL CONTE LEMONCELLO|750ML,Spritz Del Conte Lemoncello,750ML,true,5,7.0000,107.16,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||SQUEALING PIG SB|750ML,Squealing Pig Sauvignon Blanc,750ML,true,3,5.0000,84.95,MAP,41318429556811,Squealing Pig Sauvignon Blanc,750ML,unique_exact_catalog_identity,Normalized product identity and package uniquely agree.
0||STELLA ROSA STELLA BERRY|750ML,Stella Rosa Stella Berry,750ML,true,11,12.0000,155.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||TERRAZAS DE LOS ANDES RESERVA CAB|750ML,Terrazas de los Andes Reserva Cabernet Sauvignon,750ML,true,20,24.0000,467.77,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||THE MACALLAN SHERRY OAK 110 PROOF 12 YRS|750ML,The Macallan Sherry Oak 110 Proof 12 Yrs,750ML,true,1,2.0000,224.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||TIP|,Tip,,true,19,7.0000,35.00,EXCLUDE,,,,owner_approved_non_merchandise_exclusion,Excluded from canonical beverage sales.
0||UNCLE NEAREST 1856|750ML,Uncle Nearest 1856,750ML,true,2,2.0000,119.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||UNCLE NEAREST 1884|750ML,Uncle Nearest 1884,750ML,true,2,2.0000,89.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||VALPOLICELLA|,Valpolicella,,true,1,24.0000,326.16,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||VIRGEN RED BLEND|,Virgen red blend,,true,2,3.0000,38.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||WILD TURKEY MASTER S KEEP BEACON BOURBON|750ML,Wild Turkey Master's Keep Beacon Bourbon,750ML,true,3,10.0000,2990.00,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||YELLOW TAIL RIESLING|1.5L,Yellow Tail Riesling,1.5L,true,11,12.0000,155.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||YELLOW TAIL RIESLING|750ML,Yellow Tail Riesling,750ML,true,10,12.0000,82.54,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154906423371|3012511|BELVEDERE ORGANIC VODKA|750ML,Belvedere Organic Vodka,750ML,true,2,2.0000,77.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154951118923||PEYCHAUD S AROMATIC COCKTAIL BITTERS|5OZ,Peychaud's Aromatic Cocktail Bitters,5oz,true,3,3.0000,20.24,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154951151691||REGAN S NO. 6 ORANGE BITTERS|5OZ,Regan's No. 6 Orange Bitters,5oz,true,12,12.0000,95.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154954723403|19116|A AND J CHARDONNAY|750ML,A&J Chardonnay,750ML,true,12,12.0000,67.41,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154955345995|2155|BRILLA PROSECCO EXTRA DRY|200ML,Brilla Prosecco Extra Dry,200ML,true,6,10.0000,59.90,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154955378763|2123|BRILLA PROSECCO EXTRA DRY|1.5L,Brilla Prosecco Extra Dry,1.5L,true,7,11.0000,274.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154955444299|2156|BRILLA PROSECCO ROSE EXTRA DRY|200ML,Brilla Prosecco Rose Extra Dry,200ML,true,11,22.0000,131.78,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154955477067|2121|BRILLA PROSECCO ROSE EXTRA DRY|1.5L,Brilla Prosecco Rose Extra Dry,1.5L,true,3,3.0000,74.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41154971304011|153033|WINDSOR BLENDED|1.75L,Windsor Blended,1.75L,true,6,6.0000,119.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41156900651083||DIO GRAPEFRUIT BASIL PALOMA|200ML,DIO Grapefruit Basil Paloma,200ML,true,14,13.0000,272.87,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41156902355019||MINUTE MAID SPIKED PINA COLADA|200ML,Minute Maid Spiked Pina Colada,200ML,true,5,5.0000,49.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41156902387787||MINUTE MAID SPIKED STRAWBERRY DAIQUIRI|200ML,Minute Maid Spiked Strawberry Daiquiri,200ML,true,11,12.0000,119.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157195857995||ABSOLUT MANDRIN|1L,Absolut Mandrin,1L,true,6,6.0000,143.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157195989067||ABSOLUT VODKA|1.75L,Absolut Vodka,1.75L,true,21,21.0000,734.79,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157203722315||DON JULIO BLANCO|50ML,Don Julio Blanco,50ML,true,1,1.0000,5.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157206442059||JAGERMEISTER|100ML,Jagermeister,100ML,true,9,12.0000,54.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157209096267||KNOB CREEK KENTUCKY STRAIGHT BOURBON|1.75L,Knob Creek Kentucky Straight Bourbon,1.75L,true,3,3.0000,209.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157209194571||LOYAL 9 COCKTAILS CLASSIC LEMONADE|12OZ,Loyal 9 Cocktails Classic Lemonade,12oz,true,11,11.0000,142.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157209227339||LOYAL 9 COCKTAILS LEMONADE ICED TEA|12OZ,Loyal 9 Cocktails Lemonade + Iced Tea,12oz,true,3,3.0000,38.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157209260107||LOYAL 9 MIXED BERRY LEMONADE|12OZ,Loyal 9 Mixed Berry Lemonade,12oz,true,1,1.0000,12.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157209292875||LOYAL 9 WATERMELON LEMONADE|12OZ,Loyal 9 Watermelon Lemonade,12oz,true,15,15.0000,194.85,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157214175307||WILD TURKEY AMERICAN HONEY LIQUEUR|1L,Wild Turkey American Honey Liqueur,1L,true,7,7.0000,209.93,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157215158347||YELLOW TAIL MOSCATO|1.5L,Yellow Tail Moscato,1.5L,true,6,6.0000,76.65,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157273681995|9044469|ARBOR MIST BLACKBERRY MERLOT|1.5L,Arbor Mist Blackberry Merlot,1.5L,true,6,6.0000,59.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157277712459|3010442|HIGH NOON HARD SELTZER PEACH|700ML,High Noon Hard Seltzer Peach,700ML,true,10,12.0000,71.28,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157277777995|3010441|HIGH NOON HARD SELTZER PINEAPPLE|700ML,High Noon Hard Seltzer Pineapple,700ML,true,12,12.0000,71.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157284692043||HIGH NOON VODKA SELTZER VARIETY 8 PACK|12OZ,High Noon Vodka Seltzer Variety 8 Pack,12oz,true,31,43.0000,945.57,MAP,41716810481739,High Noon Variety 8 Pack,8pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157547819083|9039321|1800 TEQUILA BLANCO|1.75L,1800 Tequila Blanco,1.75L,true,6,6.0000,323.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157553651787|9256193|DISARONNO ORIGINALE|1L,Disaronno Originale,1L,true,3,3.0000,125.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157554143307|3004875|FIVE FARMS IRISH CREAM|50ML,Five Farms Irish Cream,50ML,true,8,9.0000,26.91,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157555552331|9001723|HENDRICK S GIN|1L,Hendrick's Gin,1L,true,7,7.0000,328.93,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157558698059|9044729|MR. BOSTON VODKA 100 PROOF|200ML,Mr. Boston Vodka 100 Proof,200ML,true,7,7.0000,20.93,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157560664139|3003394|SHADES OF BLUE RIESLING|750ML,Shades of Blue Riesling,750ML,true,5,5.0000,49.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157562597451|3008714|WHEATLEY HANDCRAFTED VODKA|50ML,Wheatley Handcrafted Vodka,50ML,true,8,22.0000,21.78,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157727813707|1230341|FAIRBANKS SHERRY|750ML,Fairbanks Sherry,750ML,true,3,3.0000,23.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157730697291|3008870|SHANKY S WHIP BLACK SMOOTH IRISH LIQUEUR|750ML,Shanky's Whip Black Smooth Irish Liqueur,750ML,true,1,1.0000,26.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157731713099|3001837|STOLICHNAYA VODKA|200ML,Stolichnaya Vodka,200ML,true,6,6.0000,59.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157732171851|3003094|ZONIN WINEMAKER S COLLECTION CHIANTI DOCG|1.5L,Zonin Winemaker's Collection Chianti DOCG,1.5L,true,9,12.0000,143.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157779554379||CUTWATER BALI HAI TIKI RUM PUNCH|12OZ,Cutwater Bali Hai Tiki Rum Punch,12oz,true,16,21.0000,272.79,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157779718219||CUTWATER LIME TEQUILA MARGARITA|12OZ,Cutwater Lime Tequila Margarita,12oz,true,50,62.0000,801.51,MAP,41716813856843,Cutwater Lime Tequila Margarita,4pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157779816523||DEEP EDDY VODKA TEA VARIETY PACK|6 PACK,Deep Eddy Vodka + Tea Variety Pack,6 Pack,true,3,3.0000,53.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
41157779980363||CUTWATER VODKA MULE|12OZ,Cutwater Vodka Mule,12oz,true,27,32.0000,414.39,MAP,41716813791307,Cutwater Vodka Mule,4pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157780013131||NUTRL CRANBERRY VARIETY 8 PACK|8 PACK,NUTRL Cranberry Variety 8 Pack,8 Pack,true,5,5.0000,97.96,MAP,41716813693003,NUTRL Cranberry Variety 8 Pack,8pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157780013131||NUTRL CRANBERRY VARIETY PACK|8 PACK,NUTRL Cranberry Variety Pack,8 Pack,true,11,12.0000,239.88,MAP,41716813693003,NUTRL Cranberry Variety 8 Pack,8pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157780045899||NUTRL LEMONADE VARIETY 8 PACK|8 PACK,NUTRL Lemonade Variety 8 Pack,8 Pack,true,6,7.0000,139.93,MAP,41716813660235,NUTRL Lemonade Variety 8 Pack,8pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157780045899||NUTRL LEMONADE VARIETY PACK|8 PACK,NUTRL Lemonade Variety Pack,8 Pack,true,2,2.0000,39.98,MAP,41716813660235,NUTRL Lemonade Variety 8 Pack,8pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157780111435||NUTRL FRUIT VARIETY 12 PACK|12 OZ,NUTRL Fruit Variety 12 Pack,12 Oz,true,12,13.0000,383.88,MAP,41716813627467,NUTRL Fruit Variety Pack,12pk-12oz Cans,owner_approved_nutrl_exception,Explicit 8-pack-to-12-pack identity exception.
41157780111435||NUTRL FRUIT VARIETY 12 PACK|8 PACK,NUTRL Fruit Variety 12 Pack,8 Pack,true,6,6.0000,173.94,MAP,41716813627467,NUTRL Fruit Variety Pack,12pk-12oz Cans,owner_approved_nutrl_exception,Explicit 8-pack-to-12-pack identity exception.
41157780111435||NUTRL FRUIT VARIETY PACK|8 PACK,NUTRL Fruit Variety Pack,8 Pack,true,6,6.0000,119.94,MAP,41716813627467,NUTRL Fruit Variety Pack,12pk-12oz Cans,owner_approved_nutrl_exception,Explicit 8-pack-to-12-pack identity exception.
41157780144203||SANDBAGGER VODKA TRANSFUSION|12OZ,Sandbagger Vodka Transfusion,12oz,true,14,19.0000,185.89,MAP,41716813561931,Sandbagger Vodka Transfusion,4pk-12oz Cans,owner_explicit_live_shopify_verified,Owner-explicit Phase 4 mapping; canonical target re-verified in live Shopify on 2026-08-20.
41157780209739||JACK DANIEL S OLD NO. 7 TENNESSEE WHISKEY AND GINGER|12OZ,Jack Daniel's Old No. 7 Tennessee Whiskey & Ginger,12oz,true,5,6.0000,75.36,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
